legacy_exploitation_id,source_usage_codes,primary_usage_code,secondary_usage_codes,provenance
"1","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"2","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"3","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"4","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"5","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"6","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"7","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"8","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"9","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"10","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"11","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"12","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"13","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"14","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"15","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"16","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"17","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"18","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"19","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"20","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"21","4B","4","","ods:20260804_export_bdd_prelevement_samy.ods"
"22","6D, 5A","6","5","ods:20260804_export_bdd_prelevement_samy.ods"
"23","6D","6","","ods:20260804_export_bdd_prelevement_samy.ods"
"24","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"25","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"26","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"27","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"28","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"29","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"30","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"31","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"32","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"33","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"34","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"35","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"36","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"37","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"38","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"39","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"40","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"41","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"42","2A, 5A, 4A, 4B","2","5|4","ods:20260804_export_bdd_prelevement_samy.ods"
"43","2A, 5A, 4A, 4B","2","5|4","ods:20260804_export_bdd_prelevement_samy.ods"
"44","2A, 5A, 4A, 4B","2","5|4","ods:20260804_export_bdd_prelevement_samy.ods"
"45","2A, 5A, 4A, 4B","2","5|4","ods:20260804_export_bdd_prelevement_samy.ods"
"46","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"47","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"48","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"49","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"50","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"51","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"52","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"53","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"54","8","8","","ods:20260804_export_bdd_prelevement_samy.ods"
"55","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"56","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"57","8","8","","ods:20260804_export_bdd_prelevement_samy.ods"
"58","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"59","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"60","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"61","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"62","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"63","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"64","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"65","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"66","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"68","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"69","2A","2","","ods:20260804_export_bdd_prelevement_samy.ods"
"70","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"71","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"72","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"73","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
"74","5A","5","","ods:20260804_export_bdd_prelevement_samy.ods"
